,Age,Attrition,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
444,19.0,No,598,Research & Development,9,Bachelor,Life Sciences,High,Female,91,Very High,1,Research Scientist,High,Married,1483.0,22376,6,No,18,Excellent,Low,2,5,3.0,Good,1.0,0,0,0
447,35.0,Yes,903,Research & Development,2,Bachelor,Medical,High,Female,81,High,2,Manufacturing Director,Medium,Married,8789.0,7653,4,No,11,Excellent,Low,2,7,3.0,Better,10.0,2,1,4
450,45.0,No,975,Research & Development,7,Bachelor,Medical,Very High,Male,55,Medium,2,Healthcare Representative,Low,Single,9724.0,23398,8,No,19,MISSING,Low,0,9,2.0,Bad,1.0,6,0,7
451,21.5,No,258,Sales,21,Master,Life Sciences,Very High,Male,74,Very High,2,Sales Executive,Very High,Single,6284.0,19921,1,No,12,Outstanding,Very High,0,10,3.0,Better,2.0,7,5,7
452,39.5,Yes,669,Sales,9,College,Medical,High,Male,64,Medium,3,Sales Executive,Very High,Single,2501.0,13596,1,No,16,Excellent,Very High,0,9,4.0,Better,2.5,8,4,7
453,31.0,No,1462,Research & Development,11,Bachelor,Medical,Low,Female,94,High,1,Laboratory Technician,High,Single,6284.0,19106,4,No,18,Excellent,Low,0,8,2.0,Better,11.0,2,0,2
455,27.0,No,1329,Sales,4,Master,Life Sciences,Very High,Female,47,Medium,2,Sales Executive,High,Married,2379.0,14590,4,No,14,Excellent,High,1,17,3.0,Best,5.0,11,5,9
456,57.5,No,1038,Research & Development,20,Bachelor,Medical,Medium,Male,95,Low,3,Healthcare Representative,Low,Divorced,3230.0,19863,2,Yes,18,Excellent,Medium,1,24,4.0,Better,2.5,7,0,7
457,27.0,No,922,Research & Development,3,College,Life Sciences,Low,Female,39,High,1,Laboratory Technician,Very High,Divorced,4174.0,2561,5,No,22,Excellent,Low,1,7,2.0,Better,2.0,0,0,0
459,33.0,No,703,Sales,28,College,Marketing,Low,Male,66,High,2,Sales Executive,Medium,Married,2277.0,7428,1,No,20,MISSING,Very High,2,6,4.0,Best,4.0,3,1,4
460,31.0,No,736,Sales,26,Bachelor,Life Sciences,High,Male,48,Medium,2,Sales Executive,Low,Married,5915.0,24232,1,No,11,Outstanding,High,1,5,3.0,Better,7.0,3,0,4
461,30.0,No,443,Research & Development,8,Below College,Life Sciences,High,Male,48,High,1,Laboratory Technician,High,Married,3491.0,17872,1,No,11,Excellent,Low,1,8,2.0,Better,10.0,3,0,7
464,40.0,No,735,Research & Development,22,Master,Other,High,Male,86,Medium,2,Research Scientist,Very High,Married,10932.0,26496,1,Yes,15,Excellent,Medium,0,16,2.0,Better,1.0,10,6,11
465,33.0,No,342,Sales,16,Master,Marketing,Very High,Male,66,Medium,2,Sales Executive,High,Divorced,3143.0,24558,4,No,19,Excellent,Very High,2,9,1.0,Better,10.0,0,0,0
466,33.0,No,859,Research & Development,4,Bachelor,Life Sciences,High,Male,98,Medium,2,Manufacturing Director,High,Married,4373.0,19124,1,No,12,Excellent,High,1,14,2.0,Better,4.0,13,6,8
467,34.0,No,661,Sales,7,College,Marketing,Low,Male,78,Medium,3,Sales Executive,Very High,Married,2932.0,20715,7,Yes,18,Excellent,Very High,1,35,3.0,Better,5.0,2,0,4
470,45.0,Yes,267,Sales,13,Master,Marketing,Low,Male,85,Very High,4,Sales Executive,High,Single,2064.0,9277,6,Yes,17,Excellent,High,0,24,3.0,Good,4.0,7,3,8
471,43.0,No,432,Research & Development,9,Master,Life Sciences,Very High,Male,96,High,1,Laboratory Technician,Very High,Married,2437.0,18725,3,No,23,Excellent,Medium,2,10,4.0,Better,1.0,2,0,3
472,34.0,No,956,Research & Development,6,College,Technical Degree,Very High,Female,78,High,2,Research Scientist,Low,Divorced,4381.0,22087,3,Yes,12,Excellent,Medium,2,18,3.0,Better,6.0,9,6,9
473,38.0,No,254,Research & Development,1,College,Life Sciences,Medium,Female,83,Medium,1,Research Scientist,Very High,Married,13206.0,22794,1,Yes,13,Excellent,Very High,1,6,3.0,Better,18.0,5,1,3
475,23.0,No,1117,Sales,18,Doctor,Life Sciences,Low,Male,83,High,4,Manager,Medium,Single,1223.0,9873,3,No,23,Outstanding,Very High,0,37,2.0,Better,1.0,9,7,7
476,32.0,Yes,310,Research & Development,7,College,Technical Degree,Very High,Female,72,High,1,Laboratory Technician,High,Married,5228.0,3666,8,No,11,Excellent,Very High,1,14,2.0,Bad,13.0,9,9,8
477,36.0,No,660,Sales,7,Below College,Life Sciences,Very High,Female,76,High,1,Sales Representative,High,Married,5228.0,16192,1,No,13,Excellent,Low,1,1,2.0,Better,2.5,0,0,0
478,44.0,No,675,Research & Development,5,College,Life Sciences,Medium,Male,85,Very High,2,Healthcare Representative,Low,Divorced,2064.0,18384,1,No,12,MISSING,Very High,2,6,4.0,Better,3.0,3,1,5
479,56.0,No,1252,Research & Development,23,College,Life Sciences,High,Female,81,Very High,1,Research Scientist,High,Married,5380.0,23779,1,No,24,Excellent,High,1,10,3.0,Better,0.0,7,0,7
483,33.0,Yes,428,Sales,9,Bachelor,Marketing,Medium,Female,52,Low,1,Sales Representative,Medium,Single,8224.0,14630,1,No,13,Excellent,High,0,2,3.0,Better,5.0,2,2,2
484,26.0,No,142,Research & Development,3,Bachelor,Life Sciences,High,Female,70,Medium,1,Research Scientist,Very High,Married,2368.0,8456,3,No,17,Excellent,Low,1,7,3.0,Better,5.0,0,0,0
485,31.0,Yes,906,Research & Development,10,Bachelor,Life Sciences,Very High,Female,92,Medium,1,Research Scientist,Low,Single,6284.0,11479,6,Yes,20,Outstanding,High,0,3,2.0,Better,10.0,0,0,0
486,34.0,No,905,Research & Development,19,College,Medical,High,Male,99,High,2,Laboratory Technician,Very High,Married,4174.0,16523,8,Yes,15,Excellent,High,1,15,2.0,Best,13.0,2,3,7
487,39.5,No,379,Sales,5,College,Life Sciences,Medium,Male,48,High,2,Sales Executive,Medium,Married,3904.0,8891,1,No,14,Excellent,Very High,1,10,2.0,Better,5.0,8,5,3
489,29.0,No,1245,Research & Development,18,Master,Life Sciences,Very High,Female,58,Medium,5,Research Director,High,Divorced,3180.0,2125,1,Yes,17,Excellent,High,1,31,3.0,Better,3.0,9,0,9
490,31.0,No,1436,Sales,6,College,Marketing,Medium,Male,34,High,2,Sales Representative,High,Married,4174.0,16047,2,Yes,20,Excellent,Very High,1,13,2.0,Bad,1.0,7,4,5
491,40.0,Yes,1362,Research & Development,10,Below College,Medical,Very High,Male,32,High,1,Research Scientist,High,Single,2064.0,26999,1,Yes,11,Excellent,Very High,0,1,3.0,Better,4.0,0,1,1
494,40.0,No,830,Sales,13,College,Life Sciences,Very High,Male,78,High,1,Sales Representative,Medium,Married,2809.0,7103,1,No,13,Excellent,High,1,1,2.0,Better,2.0,0,0,0
496,27.0,No,279,Research & Development,8,Below College,Life Sciences,High,Male,61,Medium,2,Research Scientist,Medium,Married,6284.0,24907,1,No,23,Excellent,Very High,1,10,3.0,Better,5.0,7,1,7
498,34.0,No,1418,Research & Development,1,Bachelor,Technical Degree,High,Male,36,High,1,Research Scientist,Low,Married,9713.0,10554,2,No,16,Excellent,Medium,1,7,2.0,Better,5.0,2,0,2
502,38.0,No,937,Sales,1,Bachelor,Marketing,Low,Male,32,High,3,Sales Executive,Very High,Single,4174.0,6770,1,No,21,Excellent,Low,0,14,3.0,Good,7.0,8,2,1
503,33.5,No,1400,Research & Development,3,Bachelor,Life Sciences,High,Male,53,High,1,Laboratory Technician,Very High,Married,3420.0,16734,4,No,15,Excellent,High,1,9,2.0,Bad,6.0,3,1,4
504,52.0,No,202,Research & Development,2,College,Other,High,Female,33,High,4,Manager,Very High,Married,10504.0,12982,1,Yes,11,Outstanding,High,1,26,3.0,Good,9.0,14,3,0
505,28.0,Yes,527,Research & Development,1,Master,Other,Very High,Female,63,High,1,Research Scientist,Very High,Single,4174.0,5207,1,Yes,13,MISSING,High,0,10,3.0,Good,7.0,9,7,8
506,34.0,No,594,Research & Development,2,Below College,Technical Degree,High,Male,100,High,1,Laboratory Technician,Very High,Married,7083.0,19299,0,No,14,Excellent,High,1,3,3.0,Better,10.0,1,2,1
508,45.5,No,1392,Research & Development,3,Master,Life Sciences,Very High,Female,56,High,1,Research Scientist,High,Married,4364.0,23159,1,Yes,11,Excellent,High,0,8,2.0,Better,2.0,7,3,0
509,45.5,No,1103,Research & Development,14,Bachelor,Life Sciences,Low,Male,42,High,1,Research Scientist,Low,Married,6582.0,14377,1,Yes,14,Excellent,Very High,2,9,2.0,Good,6.0,7,6,8
510,42.0,No,1180,Research & Development,2,College,Medical,Medium,Male,90,High,2,Manufacturing Director,Very High,Divorced,5155.0,24442,2,No,14,Excellent,High,1,15,3.0,Better,6.0,7,1,7
511,41.0,No,1389,Research & Development,21,Master,Life Sciences,Medium,Male,51,Very High,3,Manufacturing Director,Low,Divorced,6870.0,10195,1,No,11,Excellent,High,1,10,3.0,Better,3.0,9,8,8
513,21.5,No,1329,Research & Development,7,Bachelor,Life Sciences,High,Female,82,High,2,Healthcare Representative,Very High,Divorced,2064.0,4204,1,Yes,11,Excellent,Medium,2,6,2.0,Better,9.0,0,1,0
514,46.0,No,1349,Research & Development,23,Bachelor,Life Sciences,Low,Female,90,High,1,Research Scientist,Very High,Divorced,2064.0,3032,1,No,22,Excellent,Medium,2,3,2.0,Bad,11.0,2,0,2
515,32.0,No,1313,Sales,11,Master,Marketing,Very High,Male,80,High,2,Sales Executive,Very High,Single,4648.0,8191,3,No,12,Excellent,High,0,8,2.0,Best,0.0,1,0,4
517,48.0,No,676,Research & Development,1,Bachelor,Other,High,Male,35,High,2,Manufacturing Director,Medium,Married,4174.0,23361,0,No,15,Excellent,Low,1,10,2.0,Better,2.0,7,0,5
518,23.0,No,673,Research & Development,11,College,Other,Low,Male,96,Very High,2,Manufacturing Director,High,Divorced,2322.0,8232,0,No,18,Excellent,Very High,1,5,3.0,Good,0.0,2,1,3
521,24.0,No,760,Sales,2,Master,Marketing,Medium,Female,81,High,2,Sales Executive,Medium,Married,4999.0,3698,1,Yes,20,Outstanding,Low,0,8,2.0,Better,3.0,7,7,5
522,31.0,No,1066,Research & Development,2,College,Medical,Very High,Female,32,Very High,2,Manufacturing Director,Very High,Married,9637.0,3334,1,No,12,Excellent,Medium,0,8,3.0,Better,3.0,7,1,3
524,33.5,No,329,Sales,16,Master,Marketing,High,Female,98,Medium,2,Sales Executive,Low,Married,14724.0,13494,4,No,13,Excellent,Low,2,11,3.0,Good,2.5,2,0,2
525,27.5,No,120,Sales,4,Bachelor,Medical,Medium,Male,43,High,2,Sales Executive,High,Married,2064.0,8863,1,No,15,Excellent,Medium,0,5,2.0,Best,2.0,4,0,4
527,42.0,Yes,240,Sales,5,Bachelor,Marketing,High,Male,46,Medium,2,Sales Executive,High,Single,13348.0,26959,1,Yes,11,Excellent,Very High,0,6,3.0,Better,2.5,4,0,3
528,30.0,Yes,1102,Sales,1,College,Life Sciences,Medium,Female,94,High,2,Sales Executive,Very High,Single,8412.0,19479,8,Yes,11,Excellent,Low,0,8,3.0,Bad,9.0,4,0,5
529,23.0,No,111,Research & Development,17,Bachelor,Life Sciences,Very High,Female,74,Low,1,Research Scientist,High,Single,3295.0,4279,2,No,13,Excellent,Very High,0,6,3.0,Better,3.0,0,0,0
531,42.0,No,1423,Research & Development,1,Bachelor,Life Sciences,Low,Male,72,Medium,1,Research Scientist,High,Divorced,4272.0,12530,1,No,14,Excellent,Very High,1,1,3.0,Bad,1.0,0,0,0
534,49.0,No,1450,Research & Development,15,College,Life Sciences,Very High,Male,52,High,5,Research Director,Medium,Married,2064.0,10849,5,No,11,Outstanding,Low,1,25,2.0,Better,5.0,2,0,3
535,40.0,Yes,1218,Sales,9,Master,Life Sciences,High,Female,82,Medium,1,Sales Representative,Low,Single,6377.0,6986,7,No,23,MISSING,Medium,0,10,4.0,Better,12.0,3,0,3
536,45.0,No,645,Sales,1,Bachelor,Marketing,Medium,Female,49,Very High,3,Sales Executive,Low,Married,4174.0,19566,1,No,16,Excellent,High,1,10,3.0,Better,1.0,7,0,7
538,18.0,No,265,Research & Development,25,Bachelor,Life Sciences,Medium,Male,57,Very High,1,Research Scientist,Very High,Single,2064.0,21221,1,Yes,12,Excellent,Very High,0,1,2.0,Better,12.5,0,0,1
539,35.0,No,201,Research & Development,1,Master,Life Sciences,Medium,Male,95,High,1,Laboratory Technician,Low,Divorced,4174.0,20490,3,No,16,Excellent,Medium,1,8,2.0,Better,2.5,2,1,2
540,31.0,Yes,805,Research & Development,1,College,Life Sciences,Medium,Female,36,Medium,1,Laboratory Technician,Low,Married,11031.0,6689,1,Yes,11,Outstanding,Very High,1,1,2.0,Better,11.0,0,0,0
541,38.0,No,1252,Sales,19,College,Medical,Low,Male,32,High,3,Sales Executive,Medium,Single,2899.0,4814,1,Yes,13,Excellent,Very High,0,10,3.0,Better,2.0,0,0,9
542,29.0,Yes,688,Research & Development,3,Bachelor,Medical,Low,Female,91,High,1,Laboratory Technician,Low,Married,10504.0,9396,5,No,13,Excellent,High,1,6,3.0,Better,2.0,2,0,2
543,27.5,Yes,408,Research & Development,25,Doctor,Technical Degree,High,Male,71,Medium,1,Research Scientist,Medium,Married,6284.0,18300,5,No,16,Excellent,Medium,0,6,4.0,Best,15.0,2,1,1
544,25.0,No,930,Research & Development,6,Bachelor,Medical,Low,Female,73,Medium,2,Research Scientist,High,Single,6180.0,20003,1,Yes,14,MISSING,Low,0,20,3.0,Bad,6.0,7,1,8
546,39.5,Yes,234,Research & Development,9,Master,Life Sciences,Very High,Male,93,High,2,Laboratory Technician,Low,Married,5689.0,6208,4,No,17,Excellent,High,1,11,2.0,Good,10.0,1,0,7
547,34.0,Yes,471,Research & Development,24,Bachelor,Technical Degree,High,Male,66,Low,1,Laboratory Technician,Very High,Single,5429.0,23213,1,Yes,18,Excellent,Medium,0,1,1.0,Bad,8.0,0,0,0
549,27.5,No,810,Sales,8,Bachelor,Life Sciences,Very High,Male,57,Very High,2,Sales Executive,Medium,Married,8321.0,15678,0,No,22,Excellent,High,1,4,1.0,Better,7.5,2,1,2
552,34.0,No,266,Research & Development,1,Bachelor,Medical,Very High,Female,40,High,1,Research Scientist,Medium,Single,11994.0,18830,1,No,18,Excellent,Very High,0,2,4.0,Good,12.0,2,2,1
553,25.0,No,1212,Sales,8,College,Marketing,High,Male,78,Medium,3,Sales Executive,Very High,Married,5744.0,13755,4,Yes,11,Excellent,Medium,1,16,1.0,Good,6.0,2,4,12
554,29.0,No,328,Research & Development,1,Bachelor,Medical,High,Female,86,Medium,1,Laboratory Technician,High,Married,5765.0,3425,2,No,15,Excellent,Very High,1,5,4.0,Good,5.0,2,0,2
556,28.0,No,1300,Research & Development,24,College,Technical Degree,Low,Male,62,High,2,Research Scientist,Very High,Divorced,6284.0,24447,1,No,17,Excellent,Low,2,9,3.0,Better,3.0,8,4,7
561,41.0,Yes,211,Sales,16,Bachelor,Life Sciences,Low,Female,74,High,3,Sales Executive,Low,Single,2778.0,10092,2,Yes,20,Excellent,High,0,11,1.0,Good,7.0,0,0,0
563,29.0,No,311,Research & Development,20,Bachelor,Life Sciences,Medium,Male,89,High,2,Laboratory Technician,High,Divorced,8394.0,18624,1,No,11,Excellent,Low,1,10,2.0,Better,3.0,8,0,2
566,45.5,No,1328,Research & Development,2,Bachelor,Life Sciences,High,Female,76,High,1,Research Scientist,Medium,Married,6125.0,4956,0,No,23,Excellent,Very High,1,6,3.0,Better,10.0,4,0,4
567,34.0,No,661,Research & Development,9,College,Life Sciences,Medium,Female,61,High,1,Research Scientist,Low,Married,4538.0,7508,1,Yes,13,Excellent,Very High,0,8,3.0,Better,3.0,7,7,1
569,44.0,No,928,Research & Development,20,Master,Life Sciences,Very High,Male,31,High,2,Research Scientist,High,Single,2436.0,16885,3,No,12,Excellent,Very High,0,20,2.0,Good,4.0,3,0,3
570,43.0,No,216,Research & Development,23,Bachelor,Life Sciences,Very High,Male,44,Medium,3,Manufacturing Director,High,Single,2438.0,8787,0,No,21,Excellent,Medium,0,10,2.0,Better,3.0,7,1,8
572,29.0,No,968,Research & Development,6,College,Medical,Medium,Male,40,Medium,1,Laboratory Technician,High,Single,4723.0,4257,0,No,14,Excellent,Medium,0,8,3.0,Good,10.0,0,7,7
573,58.0,No,766,Sales,20,Bachelor,Life Sciences,High,Male,83,High,2,Sales Executive,Very High,Divorced,2380.0,19188,2,No,18,Excellent,Very High,1,7,3.0,Better,2.5,1,2,2
574,27.0,Yes,1330,Research & Development,21,Bachelor,Medical,Low,Female,37,High,1,Laboratory Technician,High,Divorced,2064.0,19373,1,No,20,Excellent,High,1,1,2.0,Good,2.5,1,0,0
575,33.5,Yes,756,Sales,1,Below College,Technical Degree,Low,Male,99,Medium,1,Sales Representative,Medium,Single,10855.0,9150,1,Yes,11,Excellent,High,0,3,2.0,Better,12.0,2,1,2
576,30.0,No,809,Sales,12,Bachelor,Marketing,High,Male,77,High,3,Sales Executive,Very High,Single,5294.0,6645,4,No,11,MISSING,Very High,0,16,3.0,Better,7.0,2,2,1
577,32.0,No,574,Research & Development,11,Bachelor,Life Sciences,Low,Female,30,High,3,Healthcare Representative,High,Married,3312.0,16873,1,No,17,MISSING,Medium,1,10,3.0,Better,3.0,9,0,9
578,34.0,No,644,Research & Development,1,Master,Medical,Very High,Female,97,High,3,Healthcare Representative,Low,Divorced,4444.0,12368,7,No,16,Excellent,High,1,17,2.0,Better,11.0,2,0,3
581,36.0,No,534,Research & Development,15,Bachelor,Medical,Medium,Female,59,High,1,Laboratory Technician,Very High,Single,2064.0,23785,1,No,15,Excellent,High,0,1,3.0,Better,2.0,0,0,0
582,39.5,No,1277,Sales,2,Bachelor,Life Sciences,High,Female,74,High,3,Sales Executive,Very High,Divorced,5093.0,5596,4,Yes,12,MISSING,Medium,1,13,2.0,Good,1.0,6,0,3
583,33.5,Yes,1009,Research & Development,1,Bachelor,Medical,Low,Male,45,Medium,1,Laboratory Technician,Medium,Divorced,2936.0,7160,1,No,15,Excellent,Low,2,1,4.0,Better,6.0,0,0,0
584,43.0,No,640,Research & Development,1,Bachelor,Technical Degree,Very High,Male,84,High,1,Research Scientist,Low,Single,7510.0,4732,2,No,11,Excellent,Medium,0,5,1.0,Good,10.0,2,1,2
587,52.0,No,530,Sales,29,Below College,Medical,Low,Female,91,High,3,Manager,High,Married,12614.0,23978,3,No,21,Excellent,Medium,1,15,2.0,Bad,5.0,0,0,0
588,50.0,No,1091,Research & Development,2,Below College,Life Sciences,Very High,Male,65,High,3,Manufacturing Director,Medium,Married,10496.0,15813,3,No,18,Excellent,Medium,1,23,3.0,Better,4.0,2,1,2
590,18.0,Yes,827,Research & Development,29,Master,Medical,Low,Female,54,Medium,2,Research Scientist,High,Single,1514.0,3129,1,No,22,Excellent,Medium,0,14,4.0,Better,0.0,7,3,8
592,34.0,Yes,342,Research & Development,2,Bachelor,Life Sciences,Low,Male,57,High,1,Research Scientist,Low,Married,5343.0,15346,6,Yes,14,Outstanding,Medium,1,6,2.0,Better,13.0,2,1,2
593,35.0,No,294,Research & Development,10,College,Life Sciences,Very High,Male,32,High,3,Manufacturing Director,Low,Divorced,4581.0,4809,1,No,21,Outstanding,High,2,9,2.0,Good,11.0,7,1,7
594,42.0,No,1370,Research & Development,27,Master,Life Sciences,Very High,Female,49,High,2,Manufacturing Director,High,Married,5231.0,5151,2,No,16,Excellent,Medium,1,17,1.0,Better,5.0,7,0,7
597,46.0,No,373,Research & Development,1,College,Life Sciences,Very High,Male,47,High,1,Research Scientist,High,Married,7991.0,16901,1,No,22,Excellent,Very High,1,1,3.0,Better,2.0,0,0,1
598,37.0,Yes,1356,Sales,20,College,Marketing,Medium,Female,70,High,1,Sales Representative,Medium,Single,6474.0,21728,1,Yes,22,Excellent,Very High,0,4,3.0,Good,14.0,3,0,2
600,46.0,No,135,Research & Development,18,Master,Medical,High,Male,62,High,2,Healthcare Representative,Medium,Married,5562.0,12992,3,Yes,14,Excellent,Very High,2,17,3.0,Better,10.0,7,6,7
601,40.0,No,829,Research & Development,15,Bachelor,Medical,Medium,Female,71,High,4,Research Director,Low,Divorced,2213.0,11929,7,No,14,MISSING,Very High,2,16,3.0,Good,7.0,8,6,9
602,50.0,No,523,Research & Development,2,Bachelor,Life Sciences,High,Female,98,High,2,Research Scientist,Very High,Single,9208.0,22455,1,No,13,Excellent,High,0,9,3.0,Better,2.0,8,8,8
604,18.0,No,470,Research & Development,20,Master,Medical,High,Female,96,High,2,Manufacturing Director,Low,Married,1200.0,5549,1,No,14,Excellent,High,0,16,2.0,Good,0.0,11,5,11
605,35.0,No,105,Research & Development,9,Bachelor,Life Sciences,Very High,Male,87,High,5,Manager,Very High,Single,4174.0,15302,2,No,13,Outstanding,High,0,21,2.0,Good,10.0,0,1,3
606,33.0,No,979,Sales,15,College,Marketing,High,Female,94,Medium,3,Sales Executive,Low,Divorced,6949.0,3088,2,No,11,Excellent,Low,1,12,4.0,Better,5.0,7,1,7
608,36.0,No,1232,Research & Development,7,Master,Medical,High,Female,39,High,3,Manufacturing Director,Very High,Single,2064.0,25713,1,Yes,14,Outstanding,High,0,11,2.0,Good,1.0,9,4,10
612,31.0,No,1083,Research & Development,29,Below College,Life Sciences,High,Female,96,Low,2,Manufacturing Director,Medium,Married,2109.0,3173,1,No,14,Excellent,Medium,2,8,3.0,Good,3.0,6,1,7
613,49.0,Yes,436,Sales,2,Below College,Medical,High,Female,37,High,2,Sales Executive,Very High,Single,16413.0,21519,4,No,16,Excellent,High,0,12,2.0,Good,4.0,7,7,3
615,41.0,Yes,383,Sales,9,College,Life Sciences,Low,Male,68,Medium,1,Sales Representative,Low,Married,4766.0,15182,3,No,12,Excellent,Low,0,6,3.0,Better,1.0,2,2,2
617,36.0,No,206,Human Resources,8,Master,Life Sciences,Very High,Male,99,High,5,Manager,Medium,Single,5562.0,4022,6,No,14,Excellent,Low,0,36,3.0,Better,3.0,3,7,7
618,36.0,Yes,306,Sales,26,Master,Life Sciences,Low,Male,100,High,2,Sales Executive,Low,Married,2741.0,5630,2,No,14,Excellent,Very High,2,5,4.0,Better,7.0,1,0,0
620,43.0,No,1343,Research & Development,27,Below College,Medical,High,Female,53,Medium,1,Research Scientist,Low,Single,2645.0,17852,1,No,11,Excellent,Very High,0,6,1.0,Good,5.0,5,1,1
622,31.0,No,1271,Research & Development,2,Below College,Medical,Medium,Female,35,High,1,Research Scientist,Very High,Single,6812.0,9068,5,Yes,14,Excellent,Very High,0,8,2.0,Better,10.0,1,2,2
623,33.0,Yes,1420,Sales,2,Below College,Marketing,High,Female,85,High,1,Sales Representative,Low,Divorced,2342.0,16346,0,No,11,Excellent,Medium,1,5,2.0,Better,2.0,3,0,2
627,34.0,No,1309,Sales,4,Below College,Medical,Medium,Male,99,High,2,Sales Representative,High,Single,4568.0,25751,3,No,19,Outstanding,Low,0,5,2.0,Better,9.0,0,0,0
629,55.0,Yes,621,Research & Development,15,Bachelor,Medical,Low,Male,73,High,3,Healthcare Representative,Very High,Married,10239.0,14075,1,No,11,Excellent,Very High,1,10,4.0,Better,1.0,7,0,5
633,41.0,No,1413,Research & Development,5,College,Technical Degree,High,Female,84,Very High,1,Laboratory Technician,High,Single,6811.0,25470,0,No,14,Excellent,Low,0,7,3.0,Bad,8.0,5,1,3
634,26.0,No,1069,Research & Development,1,Bachelor,Life Sciences,Medium,Female,42,Medium,2,Healthcare Representative,Very High,Single,6284.0,12291,0,No,14,Outstanding,Low,0,6,2.0,Better,8.0,0,1,4
637,29.0,Yes,813,Research & Development,1,Bachelor,Medical,Medium,Male,61,High,1,Research Scientist,Very High,Married,2362.0,3020,2,Yes,16,Excellent,Low,1,6,2.0,Good,9.0,0,2,0
639,40.0,No,946,Research & Development,2,Bachelor,Medical,High,Male,52,Medium,2,Manufacturing Director,Very High,Single,3319.0,20234,5,Yes,24,MISSING,Medium,0,12,3.0,Good,9.0,0,0,0
642,54.0,No,467,Sales,7,Bachelor,Life Sciences,High,Male,55,High,2,Sales Executive,Low,Single,10725.0,11827,0,No,14,Excellent,Very High,0,5,1.0,Better,9.0,2,1,3
644,39.0,No,1469,Research & Development,9,Master,Medical,Very High,Female,35,High,1,Research Scientist,Medium,Divorced,6120.0,25063,8,Yes,14,Excellent,Very High,1,3,2.0,Better,5.0,1,0,0
645,27.5,Yes,1372,Sales,9,Bachelor,Marketing,Low,Female,85,Low,2,Sales Executive,High,Single,2973.0,9489,8,No,13,Excellent,Medium,0,7,2.0,Good,5.0,3,1,3
647,34.0,No,157,Research & Development,10,Bachelor,Medical,High,Male,77,High,2,Manufacturing Director,Low,Single,2064.0,25198,6,Yes,19,MISSING,Very High,0,9,3.0,Better,7.0,2,1,4
648,45.0,No,581,Research & Development,1,College,Life Sciences,Very High,Male,63,High,1,Research Scientist,High,Single,9380.0,17624,0,No,12,MISSING,Very High,0,4,4.0,Best,3.0,2,1,2
649,24.0,Yes,607,Research & Development,2,Doctor,Technical Degree,High,Male,78,Medium,3,Manufacturing Director,Very High,Married,2145.0,14618,0,No,16,Excellent,Medium,1,34,2.0,Better,2.5,7,1,9
651,27.0,No,670,Research & Development,10,Master,Medical,Low,Female,51,High,2,Healthcare Representative,High,Single,3517.0,4223,3,Yes,16,Excellent,High,0,10,2.0,Better,3.0,2,0,4
652,28.0,No,636,Research & Development,4,Master,Other,Very High,Male,47,Medium,1,Laboratory Technician,Very High,Married,4382.0,26537,1,No,13,Excellent,Medium,1,2,2.0,Best,2.0,2,2,2
653,29.0,No,589,Research & Development,14,College,Life Sciences,Medium,Male,94,High,4,Research Director,Low,Married,4649.0,5200,6,No,24,Excellent,High,1,22,3.0,Better,4.0,1,1,0
655,44.0,Yes,523,Research & Development,2,Bachelor,Life Sciences,Medium,Female,94,High,1,Laboratory Technician,Very High,Married,6284.0,21081,6,Yes,13,Excellent,High,1,7,1.0,Bad,2.0,2,2,2
657,55.0,No,571,Research & Development,10,Below College,Life Sciences,Very High,Male,82,High,1,Research Scientist,Low,Divorced,5160.0,19905,0,Yes,13,Excellent,Medium,2,6,3.0,Good,9.0,3,4,3
661,39.5,No,1256,Research & Development,19,Below College,Medical,High,Male,80,High,1,Research Scientist,Very High,Married,6284.0,11992,1,No,24,Outstanding,Low,2,2,3.0,Better,7.0,2,2,2
662,38.0,No,691,Research & Development,5,Master,Technical Degree,High,Female,86,High,1,Research Scientist,Very High,Married,6284.0,10077,0,Yes,12,Excellent,High,1,6,4.0,Better,9.0,2,0,3
664,39.5,Yes,890,Research & Development,2,Master,Medical,High,Male,46,High,1,Research Scientist,High,Single,5968.0,16374,6,No,17,Outstanding,Very High,0,5,3.0,Good,9.0,2,2,1
665,51.0,No,135,Research & Development,19,Bachelor,Medical,High,Female,46,High,2,Laboratory Technician,Medium,Divorced,13116.0,22534,4,No,13,MISSING,High,2,15,2.0,Best,2.0,8,5,10
668,42.0,No,1082,Sales,12,Bachelor,Technical Degree,Medium,Male,83,High,2,Sales Executive,High,Single,4841.0,19558,0,No,11,Excellent,Medium,0,6,3.0,Better,1.0,4,4,4
670,39.0,No,685,Research & Development,1,Bachelor,Life Sciences,Low,Female,62,High,2,Manufacturing Director,High,Married,6389.0,7505,0,No,12,Excellent,Very High,2,5,3.0,Better,8.0,2,1,2
